weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
0.025583636	0.001871463	0.0	0.5061537	0.5055824	0.50085765	0.5
0.98230827	0.95859605	0.757913	0.90935606	0.8121049	0.8071966	0.66806793
2.2081912	2.1844811	1.7429607	0.9927319	0.9527834	0.9518539	0.80874425
3.2281866	3.204477	2.4858189	0.9978602	0.9782453	0.9782579	0.864247
4.059983	4.0363	3.0076303	0.9990497	0.9865571	0.9869197	0.8877817
4.6926994	4.668568	3.34752	0.9994676	0.99015266	0.99068683	0.8971979
5.134378	5.111454	3.533625	0.99964976	0.99190164	0.99248546	0.8983238
5.423508	5.40261	3.5946205	0.9997414	0.9927804	0.99335545	0.8937047
5.618224	5.5989265	3.5544655	0.9997894	0.9931175	0.99366784	0.88407737
5.75772	5.7394586	3.4358106	0.9998155	0.9931024	0.9936164	0.86997336
5.8605514	5.842488	3.254311	0.999829	0.99280155	0.99328125	0.85126585
5.9384875	5.9202733	3.0233753	0.9998337	0.99225444	0.9926876	0.827802
5.9989986	5.980789	2.7530048	0.99983275	0.99145985	0.99183494	0.7995587
6.046998	6.0289316	2.4576693	0.99982667	0.9904376	0.99075025	0.76709324
6.0852013	6.0673127	2.1406622	0.9998178	0.9891905	0.98941946	0.7305625
6.1158643	6.0981355	1.8119404	0.9998052	0.98771465	0.98785055	0.6908408
6.1407256	6.123132	1.4771694	0.9997905	0.98601836	0.98607916	0.648951
6.1612735	6.1437726	1.1414179	0.9997749	0.9841451	0.9841036	0.6057315
6.178391	6.1609645	0.8109066	0.99975866	0.9821268	0.98197836	0.56208056
6.1926994	6.175305	0.4875333	0.9997411	0.9799417	0.97970754	0.5184496
6.2049317	6.187561	0.1745941	0.99972534	0.97770184	0.97736406	0.47506297
6.21551	6.1981635	-0.12528944	0.99971014	0.9754098	0.97496945	0.43221533
6.224853	6.207525	-0.41052127	0.9996966	0.9730996	0.972575	0.39006433
6.2332425	6.2159266	-0.678681	0.9996841	0.9708295	0.9702303	0.3490634
6.2408566	6.22356	-0.93063027	0.9996746	0.9686037	0.96792823	0.30959368
6.2478805	6.2305937	-1.1647307	0.9996662	0.96643883	0.9657009	0.27239004
6.2544746	6.237192	-1.3807408	0.9996611	0.96435916	0.9635632	0.23820888
6.2607317	6.2434554	-1.5784295	0.9996568	0.9623656	0.9615256	0.20763075
6.2667446	6.249465	-1.7582874	0.99965423	0.960474	0.959599	0.18085608
6.27254	6.2552547	-1.9210064	0.99965364	0.9586764	0.957753	0.15795876
6.278152	6.260878	-2.0679274	0.99965423	0.9569655	0.9560089	0.13857146
