weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
0.015282863	-0.013283143	0.0	0.498626	0.503567	0.4963659	0.5
0.4742419	0.44567594	0.24823752	0.73891497	0.65521187	0.64994997	0.56094265
1.1040279	1.0754625	0.6724876	0.94307494	0.83068085	0.8264298	0.6522644
1.7188127	1.6902467	1.0804765	0.98355955	0.91230375	0.90990204	0.72026634
2.286288	2.2577212	1.4372053	0.99321574	0.94736063	0.9463116	0.76543987
2.8030288	2.774465	1.7379783	0.99656814	0.96464205	0.9642578	0.79504985
3.2712605	3.2426927	1.9844731	0.99801916	0.97422206	0.97414607	0.8143926
3.6945758	3.6660094	2.1801693	0.998742	0.9800054	0.9800726	0.8267448
4.0768356	4.048269	2.3290708	0.9991418	0.98371965	0.98384905	0.8340936
4.417819	4.3891234	2.435226	0.99937886	0.9862157	0.98636585	0.8376534
4.7163615	4.6872377	2.5025485	0.99952865	0.9879441	0.9880947	0.8381753
4.9693713	4.9396853	2.5347538	0.99962777	0.98916274	0.98930687	0.8361222
5.1783648	5.148289	2.5353045	0.9996958	0.9900261	0.99015886	0.83177483
5.353618	5.3229446	2.5074365	0.99974513	0.9906311	0.990751	0.8252992
5.500544	5.46963	2.4541485	0.99978054	0.99103737	0.99114686	0.81678236
5.623807	5.5926604	2.3782218	0.9998065	0.9912881	0.9913858	0.8062633
5.727144	5.6958933	2.2822504	0.999826	0.9914096	0.9914972	0.79375297
5.813549	5.7820563	2.1686292	0.99984014	0.9914183	0.99149936	0.7792534
5.8876305	5.8559923	2.0396016	0.9998516	0.991329	0.991404	0.7627658
5.9517245	5.9199476	1.8972547	0.9998595	0.99115044	0.9912189	0.7443052
6.0071993	5.975258	1.7435427	0.99986565	0.990887	0.9909501	0.7239107
6.0551133	6.022977	1.5802928	0.9998695	0.9905429	0.99060017	0.70164704
6.0965343	6.0642467	1.409217	0.99987185	0.99012107	0.99017215	0.6776154
6.1327243	6.100333	1.2319286	0.9998732	0.98962307	0.98966545	0.651952
6.164231	6.131733	1.0499249	0.99987364	0.9890493	0.9890833	0.624832
6.1915627	6.159024	0.86461616	0.9998731	0.9884022	0.98842525	0.5964661
6.2157464	6.183163	0.67731494	0.99987185	0.98768103	0.9876908	0.567099
6.2372293	6.2045894	0.4892371	0.9998697	0.98689103	0.9868845	0.5370022
6.256461	6.2237897	0.3015048	0.9998671	0.9860298	0.9860037	0.5064655
6.2736363	6.2409525	0.11514374	0.9998643	0.9851028	0.9850538	0.47578654
6.288943	6.2562723	-0.06891745	0.9998606	0.98411185	0.9840358	0.44526005
