weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
0.03464759	0.009382461	0.0	0.50887716	0.50773907	0.50164	0.5
2.0771892	2.0519245	-0.055349663	0.95838195	0.8158861	0.8147148	0.4846164
4.5399275	4.514685	-1.1723903	0.99117005	0.8878917	0.88814145	0.2724553
6.0888596	6.0680795	-2.9097042	0.99515855	0.859571	0.8592171	0.08162585
6.589092	6.572952	-4.573137	0.9977144	0.7868874	0.7853712	0.019123783
6.845386	6.8325467	-5.976401	0.99841505	0.64080596	0.6385568	0.005374913
6.983954	6.974001	-7.1155233	0.9971773	0.4820562	0.48257	0.0019756567
7.0423717	7.0340858	-7.9555535	0.99474114	0.35416514	0.35594782	0.000905411
7.058714	7.051578	-8.504887	0.9926424	0.26358646	0.2651929	0.0004950624
7.0615716	7.055441	-8.855878	0.9912481	0.20301996	0.2042085	0.00031177027
7.0626225	7.057516	-9.090842	0.9902686	0.16327341	0.16437314	0.00021944761
7.063346	7.059165	-9.25409	0.9895329	0.13713366	0.13821821	0.00016849383
7.0639544	7.0605106	-9.368308	0.9889867	0.11980846	0.12090421	0.0001383945
7.06446	7.061628	-9.448899	0.98857915	0.10819172	0.10928676	0.00011971051
7.0648465	7.062611	-9.502717	0.98832303	0.100508556	0.10159388	0.000107879
7.065176	7.063463	-9.530777	0.9882756	0.0958219	0.09689106	0.000100599485
7.06544	7.0642066	-9.529866	0.9885173	0.09381855	0.09485864	9.689681e-05
7.065638	7.064895	-9.498568	0.98907155	0.09431742	0.09531503	9.6230164e-05
7.0658364	7.0654635	-9.441637	0.9898516	0.09702611	0.09798568	9.814069e-05
7.066008	7.0659585	-9.365966	0.9907368	0.10166314	0.10258506	0.00010228292
7.0661674	7.0663905	-9.277606	0.99163806	0.10796732	0.108851425	0.000108382555
7.066298	7.0667734	-9.181948	0.9924932	0.11568813	0.11653183	0.00011620599
7.066425	7.0670924	-9.082297	0.9932749	0.12465714	0.12546842	0.00012564172
7.066542	7.0673814	-8.982063	0.9939689	0.13462254	0.135399	0.00013648049
7.066652	7.0676155	-8.883517	0.99457294	0.14534715	0.14609328	0.00014851322
