weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
7.233398	6.9049244	-5.457424	0.99983156	0.85519946	0.80961365	0.0042464137
9.148096	3.9210348	-2.8858285	0.99994296	0.9951968	0.70731807	0.083884716
9.904896	-0.44278255	-0.21705776	0.99975777	0.9999032	0.38475338	0.45103386
9.31683	-3.3745937	0.44677016	0.9947378	0.99989015	0.1224735	0.56151056
8.968742	-4.22673	0.36846188	0.988542	0.9998534	0.03960142	0.55710196
9.234785	-3.4196515	0.14843659	0.9928471	0.9998733	0.09089318	0.5252448
9.581086	-2.2766492	-0.34815857	0.9964278	0.9998428	0.13692415	0.40409622
9.7768955	-1.5164845	-1.1332273	0.9976006	0.9997337	0.11978245	0.24826784
9.865718	-1.1706572	-1.9912072	0.99699575	0.99944115	0.07197124	0.13279426
9.924365	-0.8708538	-2.6728	0.9968615	0.9989371	0.048966277	0.081443004
9.954188	-0.49924105	-3.1117585	0.9970536	0.9984428	0.04903572	0.057841014
9.967501	-0.14368547	-3.3711548	0.9977795	0.99822336	0.047594894	0.048482366
9.974015	0.13944428	-3.5216405	0.9980559	0.9980733	0.04998706	0.040110897
9.973758	0.32190078	-3.604136	0.998629	0.99809706	0.040400248	0.030122768
9.967623	0.42389947	-3.6330206	0.9984795	0.99808836	0.04397765	0.027710548
9.970205	0.44531262	-3.6417563	0.9982216	0.9980837	0.044638023	0.027062347
9.977857	0.41444537	-3.6231196	0.99854475	0.9981765	0.04259546	0.027103962
9.985997	0.355154	-3.6009793	0.9987746	0.99827486	0.03909422	0.027261587
9.9910145	0.27926004	-3.5786548	0.99873	0.99833137	0.036712706	0.027685616
9.994301	0.21206705	-3.5461128	0.99869096	0.9983941	0.035505757	0.02849537
9.996299	0.15680881	-3.522221	0.998655	0.9984384	0.034537606	0.029097406
9.997351	0.12041229	-3.4950397	0.998648	0.9984861	0.034218837	0.029786954
9.9980955	0.10601077	-3.4587598	0.99868554	0.9985454	0.034449324	0.030732859
9.998564	0.09268955	-3.428327	0.9987126	0.9985935	0.034745734	0.03156361
9.999038	0.05904783	-3.4139433	0.99869037	0.9986163	0.034000706	0.031965237
9.999241	0.040321875	-3.401988	0.99868417	0.9986345	0.03369737	0.032301977
9.999484	0.021624	-3.3934262	0.9986733	0.9986472	0.0333059	0.032558035
9.999489	0.019853203	-3.3783083	0.99868965	0.9986678	0.03376693	0.033030465
9.999567	0.011458873	-3.371617	0.9986874	0.99867636	0.033714768	0.03324259
9.999665	0.003175331	-3.3695076	0.998681	0.9986801	0.03347674	0.03330112
9.9996805	0.0043995567	-3.3644843	0.9986875	0.9986861	0.03371241	0.033471983
9.999739	-0.0034422842	-3.369801	0.998672	0.99867976	0.033252563	0.033289984
9.999698	0.0002314426	-3.3705933	0.9986742	0.9986787	0.033382718	0.03326432
9.99976	-0.011055002	-3.3736892	0.99865675	0.9986751	0.03289017	0.033156723
9.999762	-0.013814736	-3.3760486	0.9986494	0.9986715	0.032732874	0.03308283
9.999724	-0.021283204	-3.3763175	0.99863845	0.99867165	0.03249546	0.03307058
9.999707	-0.0082168365	-3.3758156	0.9986556	0.9986723	0.03295232	0.033086084
9.999692	0.0013244087	-3.3688433	0.99867684	0.9986817	0.033495434	0.033308774
9.999752	0.010163434	-3.3683271	0.9986911	0.99868226	0.033762895	0.033321943
9.9997635	0.0059843427	-3.3717604	0.9986811	0.998678	0.033520024	0.03321245
9.999728	0.00038235963	-3.377893	0.9986648	0.99866986	0.03315837	0.03301375
9.999714	0.0024337312	-3.3740125	0.9986717	0.9986749	0.03336256	0.033140942
9.999744	0.004723341	-3.3713498	0.9986793	0.9986788	0.033501226	0.033223096
9.999752	0.0027288166	-3.3716874	0.99867624	0.99867845	0.033425547	0.033211123
9.999743	-0.0056943027	-3.3731909	0.9986631	0.99867624	0.03310423	0.03316226
9.999724	-0.007146978	-3.3743246	0.99865884	0.9986742	0.033039734	0.033129875
9.9997835	-0.0009971978	-3.372919	0.99867064	0.99867666	0.033240438	0.03316753
9.999819	0.010720559	-3.3678956	0.99869347	0.99868333	0.03377216	0.033331487
9.999781	-0.003233385	-3.3745346	0.99866533	0.99867445	0.03313359	0.033121217
9.999748	-0.004027381	-3.3722863	0.99866647	0.9986775	0.033187985	0.033190526
9.999763	-0.00085227663	-3.373959	0.99866873	0.9986752	0.033233076	0.033139568
9.999734	-0.006258268	-3.376247	0.9986572	0.9986719	0.03301491	0.03307058
9.99978	-0.008375231	-3.3778815	0.9986534	0.9986702	0.032861143	0.033013515
9.99977	-0.0035934935	-3.376007	0.9986626	0.99867254	0.033071235	0.033072926
9.999774	-0.0021799246	-3.3733518	0.9986676	0.9986758	0.033212427	0.033160165
9.999813	0.0033725481	-3.3722138	0.9986775	0.9986776	0.03340736	0.03319504
9.99972	0.005915922	-3.3733552	0.9986771	0.99867547	0.033498526	0.03316155
9.999724	0.016935112	-3.3697443	0.9986971	0.9986805	0.033959292	0.033273235
9.9997835	0.01131649	-3.3724945	0.9986867	0.998677	0.0336725	0.03318804
9.999818	-0.0010438826	-3.3749604	0.9986685	0.99867415	0.033162605	0.03310349
