weight_A	weight_B	bias	pred_11	pred_10	pred_01	pred_00
0.061411	0.0477237	0.0	0.51763785	0.51381606	0.5076857	0.5
3.1731744	3.159486	1.9539533	0.9977894	0.9716688	0.976032	0.82288283
6.3285875	6.3229637	3.4142325	0.9995409	0.98887306	0.993628	0.8760204
6.7725377	6.7634873	3.3382547	0.99979025	0.9881543	0.99210817	0.7964227
6.9063654	6.8988104	2.118057	0.99986565	0.98150796	0.98284835	0.6785958
6.9656806	6.957531	0.30920264	0.99986535	0.9554042	0.95236826	0.52883714
7.0001545	6.9925466	-1.7783965	0.99961644	0.9000091	0.8965771	0.3466049
7.0221434	7.0157576	-3.8279607	0.9991509	0.80650675	0.8057136	0.16501589
7.036152	7.0315795	-5.662775	0.99816954	0.6605701	0.6604909	0.04031652
7.0433846	7.040277	-7.139068	0.9966872	0.47060096	0.46869227	0.00629713
7.0478363	7.045145	-8.274078	0.9939933	0.28651702	0.2858576	0.0020259116
7.051368	7.0492983	-9.019824	0.990969	0.16395973	0.16574831	0.0010799442
7.052368	7.051512	-9.42902	0.9885801	0.11010248	0.11181105	0.0006935641
7.0528164	7.053371	-9.603644	0.9871846	0.093027934	0.09427988	0.0004913644
7.0531206	7.055001	-9.629955	0.98705155	0.08963742	0.09080661	0.00037534477
7.053403	7.0563493	-9.606602	0.9873652	0.09076456	0.09190018	0.00030517625
7.0536976	7.0574327	-9.546479	0.9879783	0.09555166	0.09667433	0.00026309016
7.0539765	7.0583205	-9.453143	0.98884284	0.103902064	0.105007686	0.00024081406
7.0542846	7.0590334	-9.326617	0.98992616	0.11613781	0.11723792	0.00023388013
7.0545597	7.0596247	-9.16888	0.9912114	0.1322676	0.13336544	0.00023873804
7.054831	7.060118	-8.984428	0.992594	0.15238848	0.15349859	0.00025417135
7.0550694	7.0605617	-8.788579	0.9938998	0.17565788	0.17678997	0.00027854368
7.0553107	7.0609517	-8.590884	0.99502397	0.2015119	0.20267396	0.00031085423
7.055551	7.0612655	-8.398969	0.9959459	0.22909343	0.23027673	0.00034963898
7.055765	7.0615773	-8.219809	0.99666107	0.25740054	0.258592	0.00039376947
7.0559597	7.06188	-8.05314	0.99722314	0.28587347	0.28705776	0.0004418562
7.056158	7.062146	-7.9012036	0.99765456	0.31380185	0.31496918	0.00049288006
7.0563636	7.0623775	-7.7634544	0.9979886	0.3407196	0.34186876	0.00054590794
7.0565596	7.062604	-7.6399097	0.9982483	0.36611885	0.367243	0.00059942214
7.0567403	7.0628004	-7.5283723	0.99845415	0.3900328	0.3911292	0.00065312564
7.056918	7.0629926	-7.4292955	0.9986166	0.41201186	0.41307998	0.000705747
7.057108	7.0631924	-7.3407917	0.9987465	0.43218276	0.43322334	0.00075732946
7.0572925	7.0633802	-7.262275	0.9988514	0.45045486	0.45146474	0.0008066103
7.0574684	7.0635705	-7.1915755	0.9989387	0.46717605	0.46816576	0.00085409166
7.0576463	7.063754	-7.128581	0.99901086	0.4822544	0.48321876	0.0008990541
7.057818	7.0639324	-7.072061	0.99907106	0.49590987	0.49685577	0.0009418249
7.057988	7.064105	-7.021913	0.9991214	0.5081115	0.5090394	0.0009816769
7.058144	7.0642653	-6.9767094	0.9991646	0.5191587	0.5200755	0.0010191882
7.058304	7.064418	-6.9354954	0.9992017	0.52926683	0.53016686	0.001054824
7.05848	7.064577	-6.898353	0.99923414	0.5384022	0.53928477	0.0010881156
7.0586357	7.0647273	-6.864877	0.99926215	0.5466411	0.54751563	0.0011191895
7.0587916	7.0648737	-6.834596	0.9992865	0.5541031	0.5549699	0.0011480135
7.0589666	7.0650244	-6.807086	0.9993081	0.56089264	0.5617474	0.0011748918
7.0591187	7.065164	-6.7814326	0.9993279	0.5672135	0.56806105	0.0012006786
7.059274	7.0653048	-6.757957	0.9993449	0.5729924	0.5738332	0.00122484
7.05944	7.0654564	-6.7362657	0.99936056	0.57832724	0.5791636	0.0012477613
7.059599	7.0656013	-6.715982	0.99937457	0.583314	0.5841484	0.0012695434
7.0597477	7.065732	-6.69737	0.99938774	0.5878804	0.5887125	0.0012899291
7.059911	7.0658665	-6.6796403	0.9993997	0.59222543	0.5930488	0.0013098276
7.060059	7.0659876	-6.663065	0.99941057	0.59627986	0.597097	0.0013286731
7.060205	7.066112	-6.6475616	0.9994209	0.6000671	0.60088056	0.0013465518
7.060357	7.066248	-6.633106	0.99942994	0.6035962	0.6044096	0.0013634809
